"month","total_cases","avg_cases","median_cases","cases_sd","avg_temperature","total_flood_events","flood_rate","avg_precipitation","records_count","month_name","month_english"
1,83908,1.66961158866603,0,9.97124732283685,18.4982834860715,4630,9.21283030881885,0.0488189638813057,50256,"Jan","Jan"
2,91300,1.81669850366125,0,12.5394527539258,18.6242044186381,7835,15.5901782871697,0.0565189216831971,50256,"Feb","Feb"
3,118106,1.88007004138809,0,11.6992390982214,18.5069460655734,4778,7.60585800700414,0.0599000281346363,62820,"Mar","Mar"
4,98107,1.95214501751035,0,12.4497836487047,18.2667499919053,1834,3.64931550461636,0.0414963389964123,50256,"Apr","Apr"
5,108096,2.15090735434575,0,13.5465748788635,17.7783218485401,1243,2.47333651703279,0.0269732251487511,50256,"May","May"
6,139703,2.22386182744349,0,14.4681264133766,17.0505907123902,0,0,0.017196474706495,62820,"Jun","Jun"
7,100219,1.99416985036613,0,12.5605276511562,16.7763636796289,0,0,0.0146514446565138,50256,"Jul","Jul"
8,87544,1.7419611588666,0,10.8754178772468,17.2277003150021,0,0,0.0135039305757815,50256,"Aug","Aug"
9,100513,1.60001591849729,0,10.3511382991745,17.7906879320449,0,0,0.0206644572139626,62820,"Sep","Sep"
10,76850,1.52917064629099,0,9.81130419960339,18.1437092584378,628,1.24960203756765,0.0328105869303483,50256,"Oct","Oct"
11,81441,1.6205229226361,0,10.2901281572166,18.2530016026597,638,1.26950015918497,0.0381099226798023,50256,"Nov","Nov"
12,90145,1.19581078212883,0,8.0859721894417,18.4261986218307,2463,3.26727156956383,0.0384936564017692,75384,"Dec","Dec"
